epoch,loss,mse,kl
1,156.48146849870682,156.48146849870682,6.459609409794211
2,152.61521983146667,151.479698240757,34.06565058976412
3,148.47020983695984,145.3456163406372,46.8688949495554
4,147.18013924360275,142.86036801338196,43.19771498441696
5,146.70003992319107,141.4863070845604,39.102992832660675
6,146.514004945755,140.3880872130394,36.7555064111948
7,146.51550513505936,139.72774875164032,33.93878175318241
8,146.70482349395752,139.47104382514954,31.001911893486977
9,147.10739195346832,139.55803853273392,28.310074791312218
10,148.02039647102356,140.17429810762405,26.153658717870712
11,147.70497977733612,139.615249812603,24.26918989419937
12,148.33884418010712,139.97179996967316,22.81921099871397
13,149.2449147105217,140.71711760759354,21.319493293762207
14,149.28230661153793,140.60533678531647,20.02377623319626
15,149.64956694841385,141.02110236883163,18.489567674696445
16,149.9563266634941,141.2898463010788,17.332959551364183
17,150.11669671535492,141.4042472243309,16.335841987282038
18,150.28744864463806,141.7787846326828,15.015288911759853
19,151.61963611841202,142.96425145864487,14.425640195608139
20,151.36485689878464,142.67910939455032,13.714338280260563
21,151.3041518330574,142.84603136777878,12.687181137502193
22,151.96347934007645,143.55378198623657,12.013854254037142
23,151.78742682933807,143.54293900728226,11.242483131587505
24,151.85283780097961,143.72505909204483,10.601451106369495
25,151.9494639635086,143.84054678678513,10.136146564036608
26,152.14286345243454,144.24892604351044,9.472725478932261
27,152.721495449543,144.80941146612167,9.12932787463069
28,153.19094276428223,145.39213931560516,8.665337266400456
29,152.45242086052895,144.85306924581528,8.142162726260722
30,152.9045814871788,145.38315242528915,7.780789641663432
31,153.2962408065796,145.93865263462067,7.357587857171893
32,153.3962600827217,145.99262142181396,7.403638765215874
33,152.68957003951073,145.73392868041992,6.955641781911254
34,152.91069507598877,145.9566326737404,6.954062164761126
35,152.64275640249252,145.70308476686478,6.93967145960778
36,152.4400376677513,145.66123265028,6.778805076144636
37,152.5872544646263,145.8614825606346,6.725771368481219
38,152.40750974416733,145.83209818601608,6.5754121243953705
39,152.5379160642624,145.97334825992584,6.56456745415926
40,152.53013157844543,145.95498836040497,6.575143440626562
41,152.16506016254425,145.64942795038223,6.515632212162018
42,152.31837058067322,145.72732377052307,6.591047190129757
43,152.3524770140648,145.81807160377502,6.534405678510666
44,152.1441000699997,145.5304406285286,6.613659620285034
45,152.28422445058823,145.9342606663704,6.3499635849148035
46,152.20771825313568,145.80321550369263,6.404502725228667
47,152.03216832876205,145.67645174264908,6.355716927908361
48,151.99763751029968,145.66144251823425,6.336195265874267
49,151.93071192502975,145.69688421487808,6.233827689662576
50,152.1829852461815,145.7386018037796,6.444383637979627
51,151.4951297044754,145.30906516313553,6.1860651997849345
52,152.255479991436,145.9046669602394,6.350813103839755
53,151.9206514954567,145.82154607772827,6.09910583961755
54,152.14667236804962,145.89782363176346,6.248849005438387
55,151.48570728302002,145.3366655111313,6.149042043834925
56,151.67589497566223,145.44653350114822,6.229361668229103
57,151.4384342432022,145.2852299809456,6.1532048135995865
58,151.44972521066666,145.29918509721756,6.150540227536112
59,151.04635366797447,144.9288058578968,6.117547675035894
60,151.21552276611328,144.98760396242142,6.227918610908091
61,151.39844524860382,145.21050202846527,6.187942888587713
62,151.57182329893112,145.32587188482285,6.245951651129872
63,151.9156665802002,145.67599219083786,6.239674145355821
64,151.15411114692688,145.08289831876755,6.071212551556528
65,151.3983542919159,145.38068217039108,6.017672601155937
66,150.97710371017456,144.96681582927704,6.01028803922236
67,150.58696231245995,144.41276270151138,6.174199729692191
68,150.71501904726028,144.74391585588455,5.971103032119572
69,150.83691120147705,144.7917718887329,6.045139169320464
70,150.87081116437912,144.93055254220963,5.940259221941233
71,151.27747732400894,145.14137321710587,6.136104227043688
72,150.66881078481674,144.57446837425232,6.094342918600887
73,150.7267107963562,144.54509395360947,6.181616513058543
74,150.57630914449692,144.5221213400364,6.054187970235944
75,150.462640106678,144.45417892932892,6.008461012039334
76,150.56132024526596,144.4594482779503,6.10187216475606
77,150.68653297424316,144.61116641759872,6.075366540811956
78,150.52320629358292,144.4423536658287,6.080852124840021
79,151.51948249340057,145.3971747159958,6.12230801442638
80,150.5752034187317,144.5773043036461,5.9978986023925245
81,150.14353361725807,144.0776550769806,6.065878393594176
82,150.28503388166428,144.24540865421295,6.039625583216548
83,150.59092557430267,144.5960230231285,5.994902439881116
84,150.39266753196716,144.47072964906693,5.921937942504883
85,150.09619849920273,144.23236817121506,5.863831201102585
86,150.24098002910614,144.2989805340767,5.941999236121774
87,151.15546989440918,145.0909418463707,6.064527967013419
88,150.36616832017899,144.39310216903687,5.973065581172705
89,150.34563565254211,144.43586325645447,5.909772921353579
90,150.31343799829483,144.20152288675308,6.111915382090956
91,149.91612058877945,144.02840662002563,5.887714403215796
92,149.89153635501862,143.93311250209808,5.958424173295498
93,149.85295790433884,143.96667104959488,5.886286674067378
94,149.75184202194214,143.95647168159485,5.795370634179562
95,149.88226491212845,144.09126943349838,5.790995557792485
96,150.03205347061157,144.0863083600998,5.945745478384197
97,150.6073815226555,144.60137605667114,6.0060056345537305
98,149.49946534633636,143.68690234422684,5.81256302120164
99,149.54066252708435,143.64326882362366,5.897393873427063
100,149.9446837902069,144.09100437164307,5.853679019957781
