timestamp,open,high,low,close,volume
2023-01-01 00:00:00,16526.26,16527.58,16522.4,16526.71,0.501588
2023-01-01 00:01:00,16526.81,16526.82,16522.53,16522.53,0.310298
2023-01-01 00:02:00,16521.43,16524.45,16518.27,16519.6,1.431526
2023-01-01 00:03:00,16520.08,16520.08,16513.8,16517.78,2.233005
2023-01-01 00:04:00,16517.74,16517.74,16510.37,16514.59,5.893288
2023-01-01 00:05:00,16515.61,16517.39,16514.02,16517.39,1.010032
2023-01-01 00:06:00,16518.86,16518.87,16514.01,16514.4,0.833766
2023-01-01 00:07:00,16517.69,16517.69,16512.6,16512.6,0.48712
2023-01-01 00:08:00,16512.43,16512.67,16508.4,16508.42,1.394125
2023-01-01 00:09:00,16509.42,16509.42,16504.92,16506.0,4.777472
2023-01-01 00:10:00,16506.0,16510.77,16503.83,16505.69,2.688101
2023-01-01 00:11:00,16505.0,16507.19,16505.0,16507.19,0.211291
2023-01-01 00:12:00,16507.19,16507.19,16503.0,16503.0,3.662448
2023-01-01 00:13:00,16503.01,16505.0,16502.06,16505.0,4.388396
2023-01-01 00:14:00,16505.0,16505.23,16500.87,16503.29,4.415096
2023-01-01 00:15:00,16502.97,16506.19,16502.19,16502.19,0.956068
2023-01-01 00:16:00,16501.8,16504.0,16500.0,16500.08,1.060068
2023-01-01 00:17:00,16500.36,16503.89,16500.36,16503.89,0.310144
2023-01-01 00:18:00,16504.71,16511.0,16504.71,16509.94,4.834859
2023-01-01 00:19:00,16510.99,16515.9,16508.67,16515.0,4.738629
2023-01-01 00:20:00,16514.01,16516.0,16514.0,16516.0,0.359917
2023-01-01 00:21:00,16516.0,16518.08,16515.82,16515.82,0.215678
2023-01-01 00:22:00,16515.67,16518.7,16512.58,16513.05,6.046808
2023-01-01 00:23:00,16514.09,16518.21,16514.09,16515.87,0.536753
2023-01-01 00:24:00,16516.13,16518.23,16513.04,16517.17,0.906235
2023-01-01 00:25:00,16514.74,16520.84,16514.74,16519.18,3.411902
2023-01-01 00:26:00,16519.2,16522.81,16519.18,16522.72,7.206466
2023-01-01 00:27:00,16522.65,16523.33,16522.26,16522.99,4.326975
2023-01-01 00:28:00,16521.98,16523.83,16520.29,16521.07,3.471856
2023-01-01 00:29:00,16521.09,16523.9,16521.09,16521.44,0.235796
2023-01-01 00:30:00,16521.59,16523.84,16515.09,16515.1,3.435922
2023-01-01 00:31:00,16515.12,16518.07,16514.0,16514.0,7.465702
2023-01-01 00:32:00,16513.76,16516.89,16508.3,16508.3,8.944691
2023-01-01 00:33:00,16508.62,16512.6,16508.04,16511.32,3.247626
2023-01-01 00:34:00,16510.03,16511.17,16502.78,16508.94,3.705498
2023-01-01 00:35:00,16507.18,16512.52,16505.12,16510.07,2.811463
2023-01-01 00:36:00,16508.07,16510.07,16502.78,16507.57,3.432783
2023-01-01 00:37:00,16504.57,16507.47,16498.49,16505.81,5.753089
2023-01-01 00:38:00,16502.61,16511.42,16502.58,16510.02,4.401373
2023-01-01 00:39:00,16510.0,16514.57,16505.75,16513.03,2.993475
2023-01-01 00:40:00,16513.0,16514.59,16510.03,16514.22,2.112184
2023-01-01 00:41:00,16511.22,16511.22,16504.57,16504.57,2.51114
2023-01-01 00:42:00,16507.76,16507.76,16504.07,16507.53,0.066097
2023-01-01 00:43:00,16507.54,16507.54,16506.04,16506.04,0.0571
2023-01-01 00:44:00,16507.51,16511.77,16501.91,16507.19,3.626811
2023-01-01 00:45:00,16503.65,16510.83,16503.65,16507.01,0.941606
2023-01-01 00:46:00,16507.01,16515.67,16507.0,16513.74,2.341537
2023-01-01 00:47:00,16513.57,16518.81,16512.08,16516.82,2.213025
2023-01-01 00:48:00,16517.32,16520.29,16517.32,16520.12,0.336852
2023-01-01 00:49:00,16520.12,16521.98,16516.4,16518.5,1.475365
2023-01-01 00:50:00,16517.01,16519.0,16515.39,16515.39,0.494393
2023-01-01 00:51:00,16515.39,16518.8,16515.06,16518.79,0.485241
2023-01-01 00:52:00,16518.78,16518.79,16516.35,16516.35,0.234863
2023-01-01 00:53:00,16518.92,16519.52,16517.03,16517.53,0.168542
2023-01-01 00:54:00,16518.79,16521.38,16518.68,16521.38,1.539878
2023-01-01 00:55:00,16519.39,16519.52,16519.25,16519.52,0.29
2023-01-01 00:56:00,16519.74,16522.0,16518.68,16519.05,2.190335
2023-01-01 00:57:00,16519.67,16522.92,16518.68,16521.6,2.455205
2023-01-01 00:58:00,16519.6,16521.49,16516.79,16517.78,1.074111
2023-01-01 00:59:00,16517.78,16517.78,16516.48,16516.48,0.039476
2023-01-01 01:00:00,16516.08,16517.21,16513.23,16515.76,1.751403
2023-01-01 01:01:00,16515.78,16519.74,16515.77,16519.74,2.568885
2023-01-01 01:02:00,16519.11,16522.48,16519.04,16522.48,0.991793
2023-01-01 01:03:00,16522.48,16523.12,16519.88,16521.65,3.163918
2023-01-01 01:04:00,16522.39,16522.39,16516.01,16520.09,0.74843
2023-01-01 01:05:00,16520.04,16520.04,16517.42,16519.38,0.031032
2023-01-01 01:06:00,16519.89,16521.25,16519.04,16521.25,0.742332
2023-01-01 01:07:00,16521.25,16522.54,16520.09,16522.43,0.33672
2023-01-01 01:08:00,16522.51,16523.18,16520.15,16523.13,0.921275
2023-01-01 01:09:00,16521.09,16526.0,16520.4,16523.43,4.755741
